freq,unit,s_adj,na_item,geo,time,value
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2020-01-01,96.951
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2020-04-01,104.004
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2020-07-01,98.542
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2020-10-01,100.503
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2021-01-01,99.824
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2021-04-01,99.59
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2021-07-01,97.581
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2021-10-01,97.216
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2022-01-01,97.548
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2022-04-01,96.785
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2022-07-01,97.073
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2022-10-01,96.71
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2023-01-01,96.036
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2023-04-01,96.376
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2023-07-01,96.391
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2023-10-01,96.598
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2024-01-01,96.595
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2024-04-01,96.862
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2024-07-01,97.255
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2024-10-01,97.429
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,France,2025-01-01,
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2019-01-01,96.02
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2019-04-01,97.133
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2019-07-01,96.647
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2019-10-01,96.888
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2020-01-01,99.277
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2020-04-01,103.485
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2020-07-01,98.21
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2020-10-01,99.028
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2021-01-01,99.327
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2021-04-01,98.951
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2021-07-01,97.729
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2021-10-01,98.866
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2022-01-01,98.809
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2022-04-01,99.111
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2022-07-01,99.575
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2022-10-01,98.281
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2023-01-01,97.6
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2023-04-01,97.511
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2023-07-01,96.896
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2023-10-01,96.052
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2024-01-01,95.566
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2024-04-01,96.26
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2024-07-01,96.102
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2024-10-01,96.109
Quarterly,"Index, 2020=100",Seasonally and calendar adjusted data,Real labour productivity per hour worked,Italy,2025-01-01,
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2019-01-01,0.2
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2019-04-01,0.0
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2019-07-01,0.0
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2019-10-01,-0.2
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2020-01-01,-3.1
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2020-04-01,-8.5
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2020-07-01,10.4
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2020-10-01,-0.2
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2021-01-01,0.7
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2021-04-01,1.4
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2021-07-01,0.6
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2021-10-01,0.3
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2022-01-01,0.0
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2022-04-01,0.4
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2022-07-01,0.3
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2022-10-01,-0.5
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2023-01-01,-0.4
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2023-04-01,-0.2
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2023-07-01,-0.2
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2023-10-01,-0.3
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2024-01-01,0.1
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2024-04-01,0.0
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2024-07-01,0.2
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2024-10-01,0.1
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Euro area – 20 countries (from 2023),2025-01-01,0.0
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2019-01-01,0.3
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2019-04-01,-0.2
Quarterly,Percentage change on previous period,Seasonally and calendar adjusted data,Real labour productivity per person,Germany,2019-07-01,0.2
