freq,stk_flow,indic_et,partner,sitc06,geo,time,value
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2022-01-01,21509.3
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2022-02-01,22441.0
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2022-03-01,27068.2
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2022-04-01,26147.3
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2022-05-01,28550.8
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2022-06-01,28818.5
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2022-07-01,26575.5
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2022-08-01,30028.6
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2022-09-01,30409.2
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2022-10-01,30310.0
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2022-11-01,29636.6
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2022-12-01,26242.4
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2023-01-01,28395.9
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2023-02-01,23970.1
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2023-03-01,29223.6
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2023-04-01,25403.3
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2023-05-01,25991.3
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2023-06-01,26614.0
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2023-07-01,25410.8
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2023-08-01,25535.9
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2023-09-01,26129.9
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2023-10-01,26506.0
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2023-11-01,27656.2
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2023-12-01,26700.8
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2024-01-01,25886.8
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2024-02-01,25261.2
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2024-03-01,25449.4
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2024-04-01,26148.2
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2024-05-01,27346.0
Monthly,Imports,Trade value in million ECU/EURO,United States,Total - all products,Euro area – 20 countries (from 2023),2024-06-01,23729.0
