freq,unit,s_adj,na_item,geo,time,value
Quarterly,"Chain linked volumes, percentage change compared to same period in previous year",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2022-01-01,5.5
Quarterly,"Chain linked volumes, percentage change compared to same period in previous year",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2022-04-01,4.1
Quarterly,"Chain linked volumes, percentage change compared to same period in previous year",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2022-07-01,2.9
Quarterly,"Chain linked volumes, percentage change compared to same period in previous year",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2022-10-01,2.0
Quarterly,"Chain linked volumes, percentage change compared to same period in previous year",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2023-01-01,1.4
Quarterly,"Chain linked volumes, percentage change compared to same period in previous year",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2023-04-01,0.6
Quarterly,"Chain linked volumes, percentage change compared to same period in previous year",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2023-07-01,0.0
Quarterly,"Chain linked volumes, percentage change compared to same period in previous year",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2023-10-01,0.1
Quarterly,"Chain linked volumes, percentage change compared to same period in previous year",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2024-01-01,0.4
Quarterly,"Chain linked volumes, percentage change compared to same period in previous year",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2024-04-01,0.5
Quarterly,"Chain linked volumes, percentage change compared to same period in previous year",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2024-07-01,0.9
Quarterly,"Chain linked volumes, percentage change compared to same period in previous year",Seasonally and calendar adjusted data,Gross domestic product at market prices,Euro area – 20 countries (from 2023),2024-10-01,0.9
Quarterly,"Chain linked volumes, percentage change compared to same period in previous year",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2019-01-01,1.2
Quarterly,"Chain linked volumes, percentage change compared to same period in previous year",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2019-04-01,0.5
Quarterly,"Chain linked volumes, percentage change compared to same period in previous year",Seasonally and calendar adjusted data,Gross domestic product at market prices,Germany,2019-07-01,1.5
